scale,year,count
ACE,2023,19
ACE,2024,23
ACE,2025,36
WHOQOL-100,2000,8
WHOQOL-100,2001,5
WHOQOL-100,2002,4
WHOQOL-100,2003,9
WHOQOL-100,2004,11
WHOQOL-100,2005,14
WHOQOL-100,2006,9
WHOQOL-100,2007,15
WHOQOL-100,2008,13
WHOQOL-100,2009,14
WHOQOL-100,2010,13
WHOQOL-100,2011,8
WHOQOL-100,2012,14
WHOQOL-100,2013,7
WHOQOL-100,2014,10
WHOQOL-100,2015,8
WHOQOL-100,2016,9
WHOQOL-100,2017,6
WHOQOL-100,2018,5
WHOQOL-100,2019,8
WHOQOL-100,2020,4
WHOQOL-100,2021,6
WHOQOL-100,2022,13
WHOQOL-100,2023,4
WHOQOL-100,2024,8
WHOQOL-100,2025,7
SF-12,2000,49
SF-12,2001,48
SF-12,2002,43
SF-12,2003,83
SF-12,2004,89
SF-12,2005,112
SF-12,2006,134
SF-12,2007,166
SF-12,2008,177
SF-12,2009,191
SF-12,2010,213
SF-12,2011,271
SF-12,2012,287
SF-12,2013,384
SF-12,2014,389
SF-12,2015,403
SF-12,2016,440
SF-12,2017,462
SF-12,2018,437
SF-12,2019,467
SF-12,2020,561
SF-12,2021,610
SF-12,2022,593
SF-12,2023,506
SF-12,2024,514
SF-12,2025,603
ERQ,2000,0
ERQ,2001,0
ERQ,2002,1
ERQ,2003,1
ERQ,2004,0
ERQ,2005,1
ERQ,2006,5
ERQ,2007,5
ERQ,2008,6
ERQ,2009,8
ERQ,2010,5
ERQ,2011,12
ERQ,2012,12
ERQ,2013,17
ERQ,2014,22
ERQ,2015,21
ERQ,2016,26
ERQ,2017,39
ERQ,2018,48
ERQ,2019,53
ERQ,2020,65
ERQ,2021,110
ERQ,2022,104
ERQ,2023,109
ERQ,2024,114
ERQ,2025,144
SPIN,2000,1
SPIN,2001,2
SPIN,2002,3
SPIN,2003,0
SPIN,2004,3
SPIN,2005,4
SPIN,2006,3
SPIN,2007,7
SPIN,2008,6
SPIN,2009,13
SPIN,2010,8
SPIN,2011,8
SPIN,2012,12
SPIN,2013,8
SPIN,2014,10
SPIN,2015,7
SPIN,2016,8
SPIN,2017,14
SPIN,2018,9
SPIN,2019,9
SPIN,2020,19
SPIN,2021,19
SPIN,2022,17
SPIN,2023,7
SPIN,2024,17
SPIN,2025,16
FS,2000,0
FS,2001,0
FS,2002,0
FS,2003,0
FS,2004,0
FS,2005,0
FS,2006,0
FS,2007,0
FS,2008,0
FS,2009,0
FS,2010,0
FS,2011,0
FS,2012,1
FS,2013,2
FS,2014,1
FS,2015,2
FS,2016,8
FS,2017,9
FS,2018,11
FS,2019,10
FS,2020,20
FS,2021,26
FS,2022,28
FS,2023,21
FS,2024,21
FS,2025,28
PIL,2000,0
PIL,2001,1
PIL,2002,1
PIL,2003,0
PIL,2004,1
PIL,2005,2
PIL,2006,4
PIL,2007,1
PIL,2008,4
PIL,2009,4
PIL,2010,2
PIL,2011,2
PIL,2012,5
PIL,2013,7
PIL,2014,11
PIL,2015,2
PIL,2016,5
PIL,2017,6
PIL,2018,5
PIL,2019,5
PIL,2020,4
PIL,2021,6
PIL,2022,9
PIL,2023,3
PIL,2024,4
PIL,2025,9
SOC-13,2000,3
SOC-13,2001,1
SOC-13,2002,1
SOC-13,2003,3
SOC-13,2004,5
SOC-13,2005,6
SOC-13,2006,6
SOC-13,2007,6
SOC-13,2008,7
SOC-13,2009,10
SOC-13,2010,5
SOC-13,2011,8
SOC-13,2012,8
SOC-13,2013,11
SOC-13,2014,12
SOC-13,2015,19
SOC-13,2016,18
SOC-13,2017,13
SOC-13,2018,18
SOC-13,2019,20
SOC-13,2020,29
SOC-13,2021,28
SOC-13,2022,29
SOC-13,2023,30
SOC-13,2024,29
SOC-13,2025,37
PSC-17,2000,0
PSC-17,2001,0
PSC-17,2002,0
PSC-17,2003,1
PSC-17,2004,1
PSC-17,2005,1
PSC-17,2006,0
PSC-17,2007,2
PSC-17,2008,2
PSC-17,2009,1
PSC-17,2010,1
PSC-17,2011,3
PSC-17,2012,2
PSC-17,2013,2
PSC-17,2014,1
PSC-17,2015,4
PSC-17,2016,3
PSC-17,2017,4
PSC-17,2018,1
PSC-17,2019,15
PSC-17,2020,5
PSC-17,2021,10
PSC-17,2022,7
PSC-17,2023,12
PSC-17,2024,13
PSC-17,2025,16
SRS-2,2000,4
SRS-2,2001,5
SRS-2,2002,2
SRS-2,2003,2
SRS-2,2004,0
SRS-2,2005,1
SRS-2,2006,0
SRS-2,2007,1
SRS-2,2008,1
SRS-2,2009,1
SRS-2,2010,2
SRS-2,2011,3
SRS-2,2012,0
SRS-2,2013,3
SRS-2,2014,2
SRS-2,2015,3
SRS-2,2016,11
SRS-2,2017,23
SRS-2,2018,14
SRS-2,2019,25
SRS-2,2020,50
SRS-2,2021,38
SRS-2,2022,43
SRS-2,2023,57
SRS-2,2024,66
SRS-2,2025,74
GAD-2,2000,0
GAD-2,2001,2
GAD-2,2002,0
GAD-2,2003,0
GAD-2,2004,1
GAD-2,2005,1
GAD-2,2006,0
GAD-2,2007,3
GAD-2,2008,3
GAD-2,2009,3
GAD-2,2010,4
GAD-2,2011,2
GAD-2,2012,4
GAD-2,2013,7
GAD-2,2014,10
GAD-2,2015,10
GAD-2,2016,11
GAD-2,2017,14
GAD-2,2018,18
GAD-2,2019,24
GAD-2,2020,37
GAD-2,2021,85
GAD-2,2022,79
GAD-2,2023,57
GAD-2,2024,56
GAD-2,2025,82
PHQ-2,2000,0
PHQ-2,2001,0
PHQ-2,2002,1
PHQ-2,2003,1
PHQ-2,2004,2
PHQ-2,2005,2
PHQ-2,2006,1
PHQ-2,2007,6
PHQ-2,2008,7
PHQ-2,2009,16
PHQ-2,2010,25
PHQ-2,2011,22
PHQ-2,2012,25
PHQ-2,2013,36
PHQ-2,2014,52
PHQ-2,2015,53
PHQ-2,2016,61
PHQ-2,2017,60
PHQ-2,2018,73
PHQ-2,2019,85
PHQ-2,2020,108
PHQ-2,2021,187
PHQ-2,2022,194
PHQ-2,2023,169
PHQ-2,2024,136
PHQ-2,2025,200
VR-12,2000,1
VR-12,2001,1
VR-12,2002,0
VR-12,2003,0
VR-12,2004,0
VR-12,2005,0
VR-12,2006,1
VR-12,2007,1
VR-12,2008,2
VR-12,2009,2
VR-12,2010,1
VR-12,2011,3
VR-12,2012,3
VR-12,2013,2
VR-12,2014,4
VR-12,2015,9
VR-12,2016,13
VR-12,2017,26
VR-12,2018,31
VR-12,2019,41
VR-12,2020,62
VR-12,2021,79
VR-12,2022,98
VR-12,2023,87
VR-12,2024,81
VR-12,2025,85
Connor-Davidson-10,2000,0
Connor-Davidson-10,2001,0
Connor-Davidson-10,2002,0
Connor-Davidson-10,2003,0
Connor-Davidson-10,2004,0
Connor-Davidson-10,2005,0
Connor-Davidson-10,2006,0
Connor-Davidson-10,2007,0
Connor-Davidson-10,2008,0
Connor-Davidson-10,2009,0
Connor-Davidson-10,2010,0
Connor-Davidson-10,2011,1
Connor-Davidson-10,2012,0
Connor-Davidson-10,2013,5
Connor-Davidson-10,2014,4
Connor-Davidson-10,2015,3
Connor-Davidson-10,2016,3
Connor-Davidson-10,2017,2
Connor-Davidson-10,2018,5
Connor-Davidson-10,2019,6
