year,Foundational claim,Evaluative criterion,Time horizon,Adversity,Measurement proxies,Central tension,aggregate
1975,-0.0036507617924142685,-0.017864010384963828,-0.005962203450559598,-0.004236028200166273,-0.02415854213315892,-0.036432047525951416,-0.015383932247869053
1976,-0.002395268617738093,-0.015050578269469568,-0.003223725155992651,-0.004109027939519633,-0.019029397577422627,-0.03267382202840826,-0.012746969931425137
1977,-0.002799742154526118,-0.01600995216414912,-0.0028286383823251035,-0.0029243758069574734,-0.022304907304962405,-0.03434967152378018,-0.013536214556116732
1978,-0.0032972335684301156,-0.017354335151750874,-0.0030505052005536425,-0.00480317180565482,-0.02236202558065323,-0.03589628943581939,-0.014460593457143678
1979,-0.002814834910487385,-0.016386088813835287,-0.0025047527770016846,-0.004183313075811746,-0.021673562217038606,-0.03468526065590865,-0.01370796874168056
1980,-0.00313493004527274,-0.01571485971321707,-0.004847687777523993,-0.0041553202693641175,-0.02088742179389141,-0.03453690898280842,-0.013879521430346292
1981,-0.002463315764826765,-0.016195227590498268,-0.0031686240247811776,-0.00442293879214877,-0.02180917662814897,-0.03483510701017365,-0.013815731635096267
1982,-0.002383769836514854,-0.016181133795831977,-0.0019719657784485274,-0.0036496205615582293,-0.021849232260795784,-0.03455743299844885,-0.013432192538599704
1983,-0.0028406828926030732,-0.0142409298620716,-0.002242204683184249,-0.0028063420712893857,-0.01906806585795003,-0.032574053477015044,-0.01229537980735223
1984,-0.002268286778795803,-0.015594438076666807,-0.00224928840308449,-0.0037356054815335655,-0.020676130809516,-0.034277830055820996,-0.013133596600902945
1985,-0.0030768300666069903,-0.016807210784183898,-0.004420025076108775,-0.006097622414629633,-0.02176645167427845,-0.0344902004178096,-0.014443056738936222
1986,-0.002658254624874404,-0.01715059450909722,-0.002594630810385378,-0.0053605413182697395,-0.022853874903376474,-0.03602368152475306,-0.014440262948459381
1987,-0.0019826469906675994,-0.015893592070387864,-0.0034028751317181343,-0.004457271108006876,-0.021397978974406238,-0.03492515597004129,-0.013676586707538
1988,-0.0018215514824736555,-0.015034475562570973,-0.003342095781852382,-0.004963870313665407,-0.021335485197558436,-0.03305894900214983,-0.013259404556711782
1989,-0.002790571536432645,-0.01615781937551317,-0.0019733686397704437,-0.004207962870792514,-0.022033897655911863,-0.035133717076810705,-0.013716222859205223
1990,-0.0022986591160851144,-0.0158009328268666,-0.0036156752142037793,-0.0051278735742201695,-0.021271925848891562,-0.03434521389367204,-0.013743380078989877
1991,-0.002574833835898637,-0.015682843949022796,-0.0031080362773869825,-0.006123103881951453,-0.021675081177614682,-0.033037820951498424,-0.013700286678895496
1992,-0.0035953731892628977,-0.016914600612161275,-0.0033050921080138517,-0.004265680381215777,-0.022928905347991305,-0.03522059728301366,-0.014371708153609794
1993,-0.0022968444930296836,-0.016003918716147474,-0.0014521511553603605,-0.0046729455700529315,-0.02169324372962301,-0.03458557194014382,-0.01345077926739288
1994,-0.002950974045276019,-0.017340328984151845,-0.0028707263848621475,-0.00519673158158091,-0.023090289752508857,-0.03598013540123349,-0.014571531024935544
1995,-0.0030051971358516574,-0.01722520089048592,-0.004286741019958784,-0.005349851221117223,-0.022793377061995874,-0.0353591512007102,-0.014669919755019944
1996,-0.001992570848845232,-0.015285203539776518,-0.0016086429388878633,-0.004401851529996943,-0.020762234571306742,-0.0340426696867183,-0.0130155288525886
1997,-0.002310766152581052,-0.016856714661525704,-0.00437251057185701,-0.006080518586122482,-0.02123938324583122,-0.034749653934275114,-0.014268257858698763
1998,-0.0022750377976803638,-0.016148918237506568,-0.0016012790141968537,-0.003889934323679625,-0.022005247908004035,-0.034809814875734355,-0.0134550386928003
1999,-0.002960870231932814,-0.016046670609236986,-0.0030715622316898152,-0.00485478183118209,-0.02087523292947916,-0.03467077498093808,-0.013746648802409825
2000,-0.0028421290381665694,-0.016290124076807834,-0.00021392308760906264,-0.003042231227526875,-0.022808073699207527,-0.03511908468192667,-0.013385927635207425
2001,-0.002611789373566827,-0.016624310504806575,-0.00400376831912746,-0.007815508089879289,-0.021204092667894744,-0.03466977423120827,-0.014488207197747191
